Entity,Code,Year,Coal (terawatt-hours),Solar (terawatt-hours),Crude_oil (terawatt-hours),Natural_gas (terawatt-hours),Traditional_biofuels (terawatt-hours),Other_renewables (terawatt-hours),Hydropower (terawatt-hours),Nuclear (terawatt-hours),Wind (terawatt-hours)
World,OWID_WRL,1800,97.2223,0,0,0,5555.555556,0,0,0,0
World,OWID_WRL,1810,127.77788,0,0,0,5833.333333,0,0,0,0
World,OWID_WRL,1820,152.7779,0,0,0,6111.111111,0,0,0,0
World,OWID_WRL,1830,263.8891,0,0,0,6388.888889,0,0,0,0
World,OWID_WRL,1840,355.55584,0,0,0,6944.444444,0,0,0,0
World,OWID_WRL,1850,569.4449,0,0,0,7222.222222,0,0,0,0
World,OWID_WRL,1860,1061.11196,0,0,0,6944.444444,0,0,0,0
World,OWID_WRL,1870,1641.66798,0,5.55556,0,6944.444444,0,0,0,0
World,OWID_WRL,1880,2541.6687,0,33.33336,0,6944.444444,0,0,0,0
World,OWID_WRL,1890,3855.55864,0,88.88896,33.33336,6666.666667,0,13.88888889,0,0
World,OWID_WRL,1900,5727.78236,0,180.5557,63.88894,6111.111111,0,16.66666667,0,0
World,OWID_WRL,1910,8655.56248,0,397.22254,141.66678,6388.888889,0,33.33333333,0,0
World,OWID_WRL,1920,9833.3412,0,888.8896,233.33352,6944.444444,0,63.88888889,0,0
World,OWID_WRL,1930,10125.0081,0,1755.55696,602.77826,7222.222222,0,130.5555556,0,0
World,OWID_WRL,1940,11586.12038,0,2652.7799,875.0007,7222.222222,0,191.6666667,0,0
World,OWID_WRL,1950,12602.78786,0,5444.4488,2091.66834,7500,0,333.3333333,0,0
World,OWID_WRL,1960,15441.67902,0,11097.2311,4472.2258,8888.888889,0,688.8888889,0,0
World,OWID_WRL,1965,16322.44092,0,17740.36827,6823.934577,9162.456946,5.02,919.8988263,25.78689584,0
World,OWID_WRL,1966,16512.65763,0,19104.36441,7426.217421,9218.172711,6.165,986.4152611,34.57627093,0
World,OWID_WRL,1967,16247.40207,0,20468.91567,7961.256227,9274.227277,6.425,1009.370636,42.4078552,0
World,OWID_WRL,1968,16493.29564,0,22225.38535,8668.151001,9330.622704,7.244,1059.204185,52.52310447,0
World,OWID_WRL,1969,17008.4716,0,24130.44943,9510.132872,9387.361065,7.914904,1122.612948,63.43876256,0
World,OWID_WRL,1970,17244.48525,0,26202.09329,10350.9762,9444.444444,10.35613531,1174.775447,78.40661173,0
World,OWID_WRL,1971,17139.94314,0,27745.80155,11048.31053,9498.581964,12.18024465,1221.98273,110.0047304,0
World,OWID_WRL,1972,17338.40421,0,29867.50948,11634.66841,9553.029811,13.10252289,1277.197396,150.8970728,0
World,OWID_WRL,1973,17862.41092,0,32206.67633,12153.54337,9607.789765,14.48744749,1293.146251,202.6554947,0
World,OWID_WRL,1974,17872.71335,0,31737.45207,12408.64757,9662.863614,16.40558121,1419.379721,263.3878734,0
World,OWID_WRL,1975,18217.78258,0,31379.57182,12377.59393,9718.253158,18.39332237,1440.836903,364.3608367,0
World,OWID_WRL,1976,18888.19275,0,33436.49447,13084.99176,9773.960206,20.01929042,1435.681335,433.3928498,0
World,OWID_WRL,1977,19444.22377,0,34563.85832,13487.86548,9829.986579,21.35914996,1472.996263,535.421645,0
World,OWID_WRL,1978,19659.08926,0,35545.19876,14034.26272,9886.334106,21.8324752,1589.140502,619.3130172,0.003
World,OWID_WRL,1979,20578.43837,0,36132.25398,14902.18784,9943.00463,25.05623701,1668.234671,639.6327497,0.006
World,OWID_WRL,1980,21082.11321,0,34728.24131,15019.78524,10000,28.61913546,1699.539443,711.3538908,0.0105
World,OWID_WRL,1981,21381.08784,0,33444.6795,15173.09253,10105.91751,32.22058956,1726.109746,835.9370357,0.0105
World,OWID_WRL,1982,21607.77129,0,32375.66169,15217.6112,10212.95688,40.48476806,1797.946172,916.6454617,0.0185
World,OWID_WRL,1983,22272.26008,0.003,32152.29241,15422.60601,10321.12997,45.05557767,1880.914978,1029.398713,0.032794949
World,OWID_WRL,1984,23246.35751,0.006311111,32867.61133,16685.70859,10430.44881,49.44903792,1943.003184,1244.527429,0.044755556
World,OWID_WRL,1985,24158.77054,0.011747475,32881.90111,17238.25674,10540.92553,52.50645235,1978.957468,1481.791476,0.064220202
World,OWID_WRL,1986,24434.12552,0.015183838,33894.40315,17388.7886,10652.57239,58.97893828,2002.494513,1596.522905,0.138831313
World,OWID_WRL,1987,25407.0565,0.01060303,34567.92886,18287.8572,10765.40179,61.89326119,2035.625955,1736.064703,0.195376768
World,OWID_WRL,1988,26164.30397,0.01019596,35736.80678,19135.61251,10879.42625,64.46668516,2090.733266,1893.113873,0.331579798
World,OWID_WRL,1989,26428.58778,0.262223232,36334.02916,20010.26924,10994.65842,104.3163597,2086.457113,1946.67676,2.649776768
World,OWID_WRL,1990,26125.71752,0.386562626,36754.13661,20555.37089,11111.11111,116.4400272,2154.398607,2001.842499,3.632470516
World,OWID_WRL,1991,25837.70315,0.506460449,36780.36112,21111.11064,11242.7549,121.7366694,2211.113618,2097.573377,4.086106675
World,OWID_WRL,1992,25754.67743,0.468813392,37400.62836,21212.90741,11375.95839,130.4465873,2207.694306,2113.819366,4.732812019
World,OWID_WRL,1993,25881.25539,0.556795504,37073.19552,21421.02259,11510.74008,134.8307811,2341.243835,2186.363651,5.696168819
World,OWID_WRL,1994,26027.21237,0.600991703,37882.32542,21573.29342,11647.11865,140.2999386,2359.618533,2227.866241,7.125568228
World,OWID_WRL,1995,26166.42026,0.641599638,38352.69791,22325.39032,11785.11302,146.0933873,2485.02055,2324.038682,8.26308304
World,OWID_WRL,1996,26827.282,0.704925143,39206.17407,23405.25293,11924.74234,151.3889705,2518.142692,2408.707755,9.179570358
World,OWID_WRL,1997,26868.04001,0.757071661,40179.75478,23390.79648,12066.02598,161.4417739,2563.202245,2391.595326,11.99289586
World,OWID_WRL,1998,26669.06593,0.879724855,40510.60205,23795.44616,12208.98355,168.7996208,2594.475705,2433.58057,15.91878946
World,OWID_WRL,1999,26808.32277,0.964557047,41336.84028,24393.92707,12414.05573,178.1535475,2612.244243,2523.865072,21.23784874
World,OWID_WRL,2000,27734.28347,1.150853936,41747.30842,25373.43815,12500,183.9059626,2656.535014,2582.154799,31.50290163
World,OWID_WRL,2001,28174.87074,1.425708425,42148.06685,25801.53362,12500,190.5595693,2587.486842,2654.967494,38.63928243
World,OWID_WRL,2002,29258.89831,1.807259555,42509.72115,26518.27189,12470,204.6135975,2635.381864,2697.564625,52.97929141
World,OWID_WRL,2003,31804.60749,2.294241983,43520.59623,27262.35127,12328.70237,216.8351492,2626.7063,2643.059645,63.391006
World,OWID_WRL,2004,33987.20868,3.009475065,45173.20033,28238.52485,12159.75217,234.2268587,2803.72113,2759.794745,85.58007667
World,OWID_WRL,2005,36451.83029,4.229917053,45779.40114,29065.6228,12076.14729,255.1359038,2920.187177,2767.053202,104.2193111
World,OWID_WRL,2006,38307.76836,5.782574851,46336.15711,29923.81715,11993.11724,273.0265515,3038.340122,2806.141241,133.0357515
World,OWID_WRL,2007,40474.28993,7.702112602,47007.63802,31146.16529,11910.65806,295.1348241,3083.731738,2746.481075,170.8424246
World,OWID_WRL,2008,41035.15978,12.5912305,46814.2565,31959.42611,11828.76583,313.5074992,3267.050118,2737.859277,219.0594312
World,OWID_WRL,2009,40427.43115,20.91791861,46004.24472,31116.35515,11747.43666,336.9703889,3255.669347,2711.95073,277.899072
World,OWID_WRL,2010,42282.4673,33.81625431,47513.45791,33427.49678,11666.66667,376.4966326,3441.255339,2766.133785,341.417277
World,OWID_WRL,2011,44277.59112,64.69511238,47982.28,34033.08509,11553.3766,398.555388,3501.648542,2652.157567,436.540591
World,OWID_WRL,2012,44395.06224,100.0339074,48569.02647,35012.27319,11441.18663,427.2224855,3677.295119,2471.522055,526.8814284
World,OWID_WRL,2013,45205.49828,137.5611538,49088.50592,35522.2638,11330.0861,458.7429421,3797.195979,2491.94982,644.4102388
World,OWID_WRL,2014,45233.99218,196.3329875,49483.64369,35738.83055,11220.06442,496.514926,3886.057621,2541.243136,709.297772
World,OWID_WRL,2015,44015.53033,256.1909288,50485.32693,36596.65882,11111.11111,536.4109464,3903.281964,2575.257071,828.0351756
World,OWID_WRL,2016,43403.14283,333.0524925,51384.22021,37264.17119,11003.2158,561.6660641,4022.937769,2616.540507,959.5295061